manufacturer,model,tsn,year,fuel_type,federal_state,new_registration
RENAULT (F),ZOE,AZX,2019,E,Mecklenburg-Vorpommern,27
RENAULT (F),ZOE,BIA,2019,E,Mecklenburg-Vorpommern,19
RENAULT (F),ZOE,BMT,2019,E,Mecklenburg-Vorpommern,5
TESLA (USA),Model S,AAK,2019,E,Mecklenburg-Vorpommern,5
TESLA (USA),Model S,AAL,2019,E,Mecklenburg-Vorpommern,2
TESLA (USA),Model S,AAT,2019,E,Mecklenburg-Vorpommern,1
TESLA (USA),Model S,AAV,2019,E,Mecklenburg-Vorpommern,0
TESLA (USA),Model X,AAO,2019,E,Mecklenburg-Vorpommern,5
TESLA (USA),Model X,AAP,2019,E,Mecklenburg-Vorpommern,1
TESLA (USA),Model X,AAU,2019,E,Mecklenburg-Vorpommern,5
TESLA (USA),Model X,AAW,2019,E,Mecklenburg-Vorpommern,2
TESLA (USA),Model 3,AAQ,2019,E,Mecklenburg-Vorpommern,11
TESLA (USA),Model 3,AAR,2019,E,Mecklenburg-Vorpommern,47
TESLA (USA),Model 3,AAS,2019,E,Mecklenburg-Vorpommern,11
VOLKSWAGEN (D),CRAFTER,CGD,2019,E,Mecklenburg-Vorpommern,0
VOLKSWAGEN (D),GOLF,CBP,2019,E,Mecklenburg-Vorpommern,37
VOLKSWAGEN (D),UP!,BKY,2019,E,Mecklenburg-Vorpommern,2
VOLKSWAGEN (D),UP!,CKJ,2019,E,Mecklenburg-Vorpommern,1
AUDI (D),e-tron 55,BSL,2019,E,Niedersachsen,1
AUDI (D),Audi e-tron,BPG,2019,E,Niedersachsen,209
BMW,"i3,i3s",BSI,2019,E,Niedersachsen,511
BMW,Cooper SE,CYC,2019,E,Niedersachsen,0
CITROEN (F),"C-ZERO,C-Zero",AJT,2019,E,Niedersachsen,1
DAIMLER (D),eVito Tourer,IAT,2019,E,Niedersachsen,0
DAIMLER (D),eVito Tourer,IAU,2019,E,Niedersachsen,1
DAIMLER (D),forfour ed,GON,2019,E,Niedersachsen,0
DAIMLER (D),fortwo coupe ed,HHE,2019,E,Niedersachsen,1
DAIMLER (D),EQ forfour,HSE,2019,E,Niedersachsen,131
DAIMLER (D),EQ fortwo cabrio,HSG,2019,E,Niedersachsen,82
DAIMLER (D),EQ fortwo coupe,HSF,2019,E,Niedersachsen,152
DAIMLER (D),EQC 400 4MATIC,AKA,2019,E,Niedersachsen,2
DAIMLER (D),EQC 400 4MATIC,HXW,2019,E,Niedersachsen,14
HYUNDAI MOTOR (ROK),IONIQ,AHL,2019,E,Niedersachsen,145
HYUNDAI MOTOR (ROK),"Kona, Kauai",AIO,2019,E,Niedersachsen,422
HYUNDAI MOTOR (ROK),"Kona, Kauai",AIP,2019,E,Niedersachsen,24
JAGUAR LAND ROVER (GB),Jaguar I-PACE,AHX,2019,E,Niedersachsen,43
KIA MOTOR (ROK),NIRO,AIB,2019,E,Niedersachsen,30
KIA MOTOR (ROK),SOUL,AGJ,2019,E,Niedersachsen,47
KIA MOTOR (ROK),SOUL,AIH,2019,E,Niedersachsen,51
NISSAN (CH),"Nissan Leaf 40kWh,Nissan",ALE,2019,E,Niedersachsen,185
NISSAN (CH),NISSAN e-NV200,AIA,2019,E,Niedersachsen,17
OPEL,Ampera-e,AGT,2019,E,Niedersachsen,17
PEUGEOT (F),iOn,AOG,2019,E,Niedersachsen,7
RENAULT (F),ZOE,AZX,2019,E,Niedersachsen,222
RENAULT (F),ZOE,BIA,2019,E,Niedersachsen,372
RENAULT (F),ZOE,BMT,2019,E,Niedersachsen,105
TESLA (USA),Model S,AAK,2019,E,Niedersachsen,19
TESLA (USA),Model S,AAL,2019,E,Niedersachsen,12
TESLA (USA),Model S,AAT,2019,E,Niedersachsen,18
TESLA (USA),Model S,AAV,2019,E,Niedersachsen,4
TESLA (USA),Model X,AAO,2019,E,Niedersachsen,15
TESLA (USA),Model X,AAP,2019,E,Niedersachsen,3
TESLA (USA),Model X,AAU,2019,E,Niedersachsen,10
TESLA (USA),Model X,AAW,2019,E,Niedersachsen,2
TESLA (USA),Model 3,AAQ,2019,E,Niedersachsen,130
TESLA (USA),Model 3,AAR,2019,E,Niedersachsen,460
TESLA (USA),Model 3,AAS,2019,E,Niedersachsen,149
VOLKSWAGEN (D),CRAFTER,CGD,2019,E,Niedersachsen,94
VOLKSWAGEN (D),GOLF,CBP,2019,E,Niedersachsen,1631
VOLKSWAGEN (D),UP!,BKY,2019,E,Niedersachsen,81
VOLKSWAGEN (D),UP!,CKJ,2019,E,Niedersachsen,69
AUDI (D),e-tron 55,BSL,2019,E,Nordrhein-Westfalen,0
AUDI (D),Audi e-tron,BPG,2019,E,Nordrhein-Westfalen,602
BMW,"i3,i3s",BSI,2019,E,Nordrhein-Westfalen,1706
BMW,Cooper SE,CYC,2019,E,Nordrhein-Westfalen,0
CITROEN (F),"C-ZERO,C-Zero",AJT,2019,E,Nordrhein-Westfalen,101
